usage_id,equipment_id,rental_id,timestamp,latitude,longitude,runtime_hours_total,runtime_hours_session,idle_hours,fuel_level,fuel_consumption_rate,engine_temperature,hydraulic_pressure,vibration_level,load_weight,speed_kmh,battery_level,signal_strength,is_operating,operator_id
1,CAT00056,RENT000001,2024-07-30 00:00:00,44.602922,-105.876464,0.0,0.0,1.07,64.76,0.0,96.84,2320.36,0.622,2145.37,18.39,73,2,0,OP1408
2,CAT00056,RENT000001,2024-08-02 03:47:22,44.11982,-72.251586,0.0,0.0,1.1,70.92,0.0,100.02,1386.19,0.677,976.96,35.43,89,4,0,OP1391
3,CAT00056,RENT000001,2024-08-05 07:34:44,25.601683,-107.331112,0.0,0.0,0.07,24.27,0.0,93.11,2700.76,0.343,63.66,9.61,56,3,0,OP2128
4,CAT00056,RENT000001,2024-08-08 11:22:06,25.669463,-123.844341,2.78,2.78,0.0,23.03,17.731,74.71,1969.56,1.709,705.48,16.32,27,1,1,OP1955
5,CAT00056,RENT000001,2024-08-11 15:09:28,46.325733,-91.236868,3.33,0.55,0.0,24.13,21.449,77.15,2155.19,0.526,4284.04,39.64,99,5,1,OP6365
6,CAT00056,RENT000001,2024-08-14 18:56:50,39.417251,-105.630962,3.33,0.0,0.91,26.97,0.0,85.39,1110.19,1.541,1359.2,4.69,37,4,0,OP4585
7,CAT00056,RENT000001,2024-08-17 22:44:12,41.980978,-89.802939,7.24,3.91,0.0,93.03,6.37,90.42,2900.99,1.558,1543.28,17.01,72,4,1,OP6369
8,CAT00056,RENT000001,2024-08-21 02:31:34,43.350891,-77.050444,7.24,0.0,0.88,54.91,0.0,95.5,2034.29,0.331,537.41,25.11,35,1,0,OP5500
9,CAT00056,RENT000001,2024-08-24 06:18:56,26.460888,-105.374935,7.24,0.0,1.05,73.78,0.0,83.06,2740.54,1.371,4993.19,20.88,56,3,0,OP1253
10,CAT00056,RENT000001,2024-08-27 10:06:18,31.091234,-103.797025,7.24,0.0,0.83,45.46,0.0,79.89,1565.73,1.469,2694.19,1.94,56,4,0,OP9274
11,CAT00056,RENT000001,2024-08-30 13:53:41,33.245262,-77.707765,8.96,1.72,0.0,79.58,7.793,79.58,2105.84,1.163,7.68,12.98,40,2,1,OP3433
12,CAT00056,RENT000001,2024-09-02 17:41:03,26.765261,-77.531664,12.32,3.36,0.0,18.55,10.399,103.65,2150.15,0.286,2881.8,36.07,76,2,1,OP4983
13,CAT00056,RENT000001,2024-09-05 21:28:25,25.415411,-98.064775,12.32,0.0,1.9,20.24,0.0,71.45,2683.84,0.267,3715.79,12.54,86,5,0,OP7154
14,CAT00056,RENT000001,2024-09-09 01:15:47,30.553403,-109.483586,12.32,0.0,0.25,91.26,0.0,80.12,1957.16,1.358,881.44,36.3,41,2,0,OP5358
15,CAT00056,RENT000001,2024-09-12 05:03:09,37.757146,-86.27446,13.85,1.53,0.0,10.61,24.099,86.64,2344.17,0.298,3174.59,15.47,32,5,1,OP4749
16,CAT00056,RENT000001,2024-09-15 08:50:31,32.271098,-113.355867,13.85,0.0,1.5,49.87,0.0,86.9,2453.44,1.457,1784.89,5.53,62,5,0,OP9813
17,CAT00056,RENT000001,2024-09-18 12:37:53,44.551798,-115.612211,15.72,1.87,0.0,42.97,8.985,83.55,1953.33,1.52,2790.13,24.72,73,2,1,OP5726
18,CAT00056,RENT000001,2024-09-21 16:25:15,43.999955,-79.44637,17.62,1.9,0.0,36.98,16.903,102.56,1304.01,0.945,3052.66,0.43,93,1,1,OP7365
19,CAT00056,RENT000001,2024-09-24 20:12:37,37.0434,-90.432765,17.62,0.0,1.06,80.27,0.0,91.57,2808.69,0.738,2106.76,8.19,44,2,0,OP7894
20,CAT00056,RENT000001,2024-09-28 00:00:00,38.376252,-97.242964,17.62,0.0,0.66,50.28,0.0,106.67,1077.55,1.477,183.87,16.21,50,5,0,OP3351
21,CAT00175,RENT000002,2024-03-04 00:00:00,30.486303,-84.466368,1.61,1.61,0.0,57.0,9.571,100.11,2855.73,0.326,799.75,33.08,25,5,1,OP5003
22,CAT00175,RENT000002,2024-03-05 15:09:28,27.554304,-108.735051,3.22,1.61,0.0,24.49,23.178,105.73,1409.77,1.745,1818.77,31.4,74,4,1,OP7459
23,CAT00175,RENT000002,2024-03-07 06:18:56,35.874946,-117.640631,3.22,0.0,1.53,39.15,0.0,103.06,2947.76,0.587,3783.87,25.0,55,3,0,OP6085
24,CAT00175,RENT000002,2024-03-08 21:28:25,28.606551,-95.69289,3.22,0.0,1.67,59.39,0.0,98.64,2794.29,0.985,4405.39,29.24,32,2,0,OP7395
25,CAT00175,RENT000002,2024-03-10 12:37:53,32.740894,-104.491407,5.54,2.32,0.0,80.13,5.408,80.66,1156.05,1.09,3972.77,9.4,100,5,1,OP5475
26,CAT00175,RENT000002,2024-03-12 03:47:22,43.834619,-86.969522,7.63,2.09,0.0,96.54,16.577,97.39,2448.13,0.68,1786.92,13.72,29,2,1,OP8675
27,CAT00175,RENT000002,2024-03-13 18:56:50,48.143486,-104.124569,8.56,0.93,0.0,70.7,5.472,72.63,1618.78,0.319,195.27,29.56,98,4,1,OP9987
28,CAT00175,RENT000002,2024-03-15 10:06:18,32.801951,-111.918476,11.41,2.84,0.0,16.72,12.712,79.4,1434.24,1.438,4841.39,36.2,22,5,1,OP3119
29,CAT00175,RENT000002,2024-03-17 01:15:47,31.054281,-101.916173,11.41,0.0,1.26,63.81,0.0,86.13,2243.29,1.109,2799.44,25.4,52,1,0,OP1677
30,CAT00175,RENT000002,2024-03-18 16:25:15,41.542443,-99.10592,14.74,3.33,0.0,17.94,9.006,86.67,1736.0,0.395,3891.19,24.92,54,2,1,OP6105
31,CAT00175,RENT000002,2024-03-20 07:34:44,35.901622,-76.558193,14.74,0.0,0.07,95.71,0.0,106.0,2571.07,0.867,1132.06,22.26,33,4,0,OP8887
32,CAT00175,RENT000002,2024-03-21 22:44:12,36.586701,-106.520825,14.74,0.0,0.89,58.39,0.0,99.35,2536.51,1.959,399.28,31.67,45,3,0,OP7606
33,CAT00175,RENT000002,2024-03-23 13:53:41,48.937653,-113.292626,18.6,3.86,0.0,52.72,18.709,100.24,1819.85,1.59,2476.77,4.08,23,3,1,OP4943
34,CAT00175,RENT000002,2024-03-25 05:03:09,37.507774,-82.041682,20.63,2.03,0.0,67.76,22.847,75.66,2421.1,0.645,1302.96,1.43,63,4,1,OP7502
35,CAT00175,RENT000002,2024-03-26 20:12:37,37.035955,-102.455293,22.49,1.86,0.0,98.0,24.812,104.99,2659.94,0.626,4664.53,17.42,38,4,1,OP7043
36,CAT00175,RENT000002,2024-03-28 11:22:06,29.706761,-107.491692,23.62,1.13,0.0,96.04,9.731,91.28,1000.65,0.958,3789.24,18.87,77,5,1,OP3431
37,CAT00175,RENT000002,2024-03-30 02:31:34,27.438692,-112.028622,23.62,0.0,1.72,12.4,0.0,109.54,2565.92,1.263,3113.99,28.23,44,5,0,OP4878
38,CAT00175,RENT000002,2024-03-31 17:41:03,36.658682,-83.664595,26.62,3.0,0.0,17.1,16.461,74.29,1366.22,0.675,204.5,35.25,98,2,1,OP9522
39,CAT00175,RENT000002,2024-04-02 08:50:31,37.806687,-123.724627,26.62,0.0,1.17,81.35,0.0,70.74,2493.86,1.138,1395.53,3.2,55,5,0,OP1400
40,CAT00175,RENT000002,2024-04-04 00:00:00,35.405575,-100.243992,26.62,0.0,1.91,50.5,0.0,109.78,1151.86,1.106,1848.8,0.59,52,4,0,OP3573
41,CAT00120,RENT000003,2025-05-20 00:00:00,44.542054,-84.685575,0.0,0.0,0.16,23.38,0.0,85.43,2191.86,0.292,81.09,29.81,31,1,0,OP6078
42,CAT00120,RENT000003,2025-05-20 08:50:31,39.000551,-113.326616,1.29,1.29,0.0,31.91,19.182,87.4,2986.92,1.204,3734.38,20.57,86,2,1,OP7118
43,CAT00120,RENT000003,2025-05-20 17:41:03,29.1794,-80.221778,4.89,3.6,0.0,58.35,16.534,104.38,1528.78,1.892,3378.98,39.06,69,2,1,OP2011
44,CAT00120,RENT000003,2025-05-21 02:31:34,42.913218,-68.51226,4.89,0.0,1.69,52.51,0.0,70.77,2319.8,1.355,4685.27,0.61,67,1,0,OP2412
45,CAT00120,RENT000003,2025-05-21 11:22:06,38.967133,-109.472247,4.89,0.0,1.93,41.16,0.0,71.05,1373.68,1.602,2738.19,10.99,94,1,0,OP8114
46,CAT00120,RENT000003,2025-05-21 20:12:37,27.517971,-108.625107,4.89,0.0,0.83,45.26,0.0,101.91,2887.24,1.65,2864.8,33.04,79,5,0,OP2298
47,CAT00120,RENT000003,2025-05-22 05:03:09,27.868379,-82.709604,4.89,0.0,1.34,96.02,0.0,105.42,2555.69,1.492,4346.58,17.29,57,4,0,OP7391
48,CAT00120,RENT000003,2025-05-22 13:53:41,41.246367,-89.65846,4.89,0.0,0.97,45.59,0.0,97.29,2162.02,1.587,4470.22,7.44,79,2,0,OP7585
49,CAT00120,RENT000003,2025-05-22 22:44:12,36.028486,-121.32714,4.89,0.0,0.69,54.58,0.0,92.59,2941.08,1.368,555.99,4.83,21,2,0,OP7306
50,CAT00120,RENT000003,2025-05-23 07:34:44,39.648129,-73.663203,5.46,0.57,0.0,38.56,13.053,95.04,1041.17,0.845,3413.77,35.27,100,5,1,OP8853
51,CAT00120,RENT000003,2025-05-23 16:25:15,38.149092,-84.064864,5.46,0.0,1.83,19.6,0.0,103.93,2412.74,1.548,2417.0,31.74,54,2,0,OP1716
52,CAT00120,RENT000003,2025-05-24 01:15:47,30.38108,-86.777922,5.46,0.0,0.42,30.57,0.0,84.96,1022.33,1.614,1947.14,34.54,70,3,0,OP8609
53,CAT00120,RENT000003,2025-05-24 10:06:18,33.826068,-95.443697,7.12,1.65,0.0,66.21,13.102,84.61,1750.16,0.61,728.77,30.63,42,3,1,OP8701
54,CAT00120,RENT000003,2025-05-24 18:56:50,33.742005,-118.322326,10.38,3.27,0.0,41.78,11.42,88.03,2394.11,0.995,736.85,27.12,34,1,1,OP5377
55,CAT00120,RENT000003,2025-05-25 03:47:22,47.118343,-70.48239,10.38,0.0,1.94,71.53,0.0,81.15,2155.71,0.521,1687.59,25.92,55,5,0,OP4310
56,CAT00120,RENT000003,2025-05-25 12:37:53,26.195674,-75.614629,11.73,1.34,0.0,59.74,9.362,98.74,2914.42,1.198,4729.91,33.29,75,5,1,OP4845
57,CAT00120,RENT000003,2025-05-25 21:28:25,30.554363,-84.900724,11.73,0.0,1.18,73.22,0.0,95.02,1214.05,0.406,638.44,34.37,73,1,0,OP6914
