maintenance_id,equipment_id,maintenance_date,maintenance_type,description,cost,duration_hours,technician_id,parts_replaced,next_maintenance_due,maintenance_score,downtime_hours,created_at
1,CAT00001,2024-07-11,Corrective,Caterpillar Corrective maintenance,5806.59,2.33,TECH2922,"[""Lift Arms"", ""Axle""]",2025-01-24,8,20.46,2025-08-28 16:57:14
2,CAT00001,2021-09-04,Preventive,Caterpillar Preventive maintenance,3690.83,14.54,TECH5189,"[""Axle""]",2022-01-11,10,48.25,2025-08-28 16:57:14
3,CAT00001,2022-09-13,Corrective,Caterpillar Corrective maintenance,4194.01,15.93,TECH8756,"[""Lift Arms""]",2023-07-31,10,10.78,2025-08-28 16:57:14
4,CAT00002,2019-07-13,Corrective,Caterpillar Corrective maintenance,5790.55,13.42,TECH1433,"[""PTO"", ""Stabilizer""]",2020-05-01,9,34.97,2025-08-28 16:57:14
5,CAT00002,2023-06-15,Preventive,Caterpillar Preventive maintenance,2296.38,11.14,TECH5440,"[""Loader Bucket""]",2024-04-03,9,38.84,2025-08-28 16:57:14
6,CAT00002,2025-03-23,Corrective,Caterpillar Corrective maintenance,3394.4,12.3,TECH8035,"[""Loader Bucket""]",2025-11-29,8,71.21,2025-08-28 16:57:14
7,CAT00002,2022-11-17,Preventive,Caterpillar Preventive maintenance,802.18,4.19,TECH2173,"[""Loader Bucket"", ""Stabilizer"", ""Backhoe Bucket""]",2023-07-28,10,47.96,2025-08-28 16:57:14
8,CAT00002,2025-04-14,Preventive,Caterpillar Preventive maintenance,5395.0,3.82,TECH3269,"[""Backhoe Bucket"", ""Loader Bucket""]",2025-10-16,9,53.48,2025-08-28 16:57:14
9,CAT00003,2020-02-02,Preventive,Caterpillar Preventive maintenance,2796.64,6.72,TECH3701,"[""Pressure Switch"", ""Air Filter"", ""Tank""]",2020-09-12,9,68.06,2025-08-28 16:57:14
10,CAT00003,2021-10-19,Corrective,Caterpillar Corrective maintenance,2156.78,8.8,TECH3013,"[""Pressure Switch""]",2022-02-07,8,33.93,2025-08-28 16:57:14
11,CAT00003,2018-07-10,Preventive,Caterpillar Preventive maintenance,2451.61,7.52,TECH4465,"[""Pressure Switch"", ""Air Filter"", ""Compressor Pump""]",2019-06-09,10,67.01,2025-08-28 16:57:14
12,CAT00003,2019-11-18,Preventive,Caterpillar Preventive maintenance,3691.24,13.9,TECH6651,"[""Pressure Switch""]",2020-04-20,10,36.43,2025-08-28 16:57:14
13,CAT00004,2019-02-08,Preventive,Caterpillar Preventive maintenance,3421.07,10.4,TECH2957,"[""Compressor Pump""]",2019-11-22,8,47.56,2025-08-28 16:57:14
14,CAT00004,2018-09-06,Corrective,Caterpillar Corrective maintenance,1756.59,9.34,TECH6631,"[""Air Filter""]",2019-02-23,10,25.24,2025-08-28 16:57:14
15,CAT00004,2024-08-22,Emergency,Caterpillar Emergency maintenance,5570.2,12.96,TECH2460,"[""Air Filter""]",2025-08-22,10,46.24,2025-08-28 16:57:14
16,CAT00005,2024-07-18,Preventive,Caterpillar Preventive maintenance,1718.02,3.08,TECH8578,"[""Tank""]",2025-02-11,8,57.13,2025-08-28 16:57:14
17,CAT00005,2021-06-21,Preventive,Caterpillar Preventive maintenance,2367.15,4.24,TECH2276,"[""Pressure Switch""]",2021-09-22,10,18.19,2025-08-28 16:57:14
18,CAT00005,2021-05-24,Preventive,Caterpillar Preventive maintenance,921.8,9.39,TECH7863,"[""Air Filter"", ""Pressure Switch""]",2021-10-21,8,40.11,2025-08-28 16:57:14
19,CAT00005,2024-04-19,Preventive,Caterpillar Preventive maintenance,1867.75,6.47,TECH8825,"[""Pressure Switch""]",2024-08-02,9,68.29,2025-08-28 16:57:14
20,CAT00005,2021-08-24,Corrective,Caterpillar Corrective maintenance,5099.37,6.07,TECH2726,"[""Tank"", ""Air Filter""]",2022-03-08,9,46.28,2025-08-28 16:57:14
